id,status,french_name,english_name,french_attribut,english_attribut,type,french_tag,english_tag,unit,validity_range,comment,CO2,main_type,sous_type
40963,Valide générique,Barre céréalière équilibre aux fruits,Cereal bar with fruit,enrichie en vitamines et minéraux,fortified with vitamins and minerals, Produits céréaliers > Céréales de petit-déjeuner et biscuits,"céréales de petit-déjeuner et biscuits,Agribalyse,Barre céréalière équilibre aux fruits","Agribalyse,céréales de petit-déjeuner et biscuits,Cereal bar with fruit",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,2.46,Produits céréaliers,Céréales de petit-déjeuner et biscuits
40964,Valide générique,Barre céréalière équilibre chocolatée,Cereal bar with chocolate,enrichie en vitamines et minéraux,fortified with vitamins and minerals, Produits céréaliers > Céréales de petit-déjeuner et biscuits,"céréales de petit-déjeuner et biscuits,Agribalyse,Barre céréalière équilibre chocolatée","Agribalyse,céréales de petit-déjeuner et biscuits,Cereal bar with chocolate",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,6.09,Produits céréaliers,Céréales de petit-déjeuner et biscuits
39789,Valide générique,Bière coeur de marché (4-5° alcool),Beer,,regular (4-5° alcohol), Boissons > Boissons alcoolisées,"boisson alcoolisées,Agribalyse,Bière coeur de marché (4-5° alcool)","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12,Boissons,Boissons alcoolisées
39790,Valide générique,Bière de spécialités ou d'abbaye,Beer,régionales ou d'une brasserie (degré d'alcool variable), specialty, Boissons > Boissons alcoolisées,"boisson alcoolisées,Agribalyse,Bière de spécialités ou d'abbaye","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12,Boissons,Boissons alcoolisées
39791,Valide générique,Bière spéciale (5-6° alcool),Beer,,special (5-6° alcohol), Boissons > Boissons alcoolisées,"boisson alcoolisées,Agribalyse,Bière spéciale (5-6° alcool)","Agribalyse,Beer,boisson alcoolisées",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.12,Boissons,Boissons alcoolisées
41040,Valide générique,Brioche fourrée crème pâtissière (type chinois),Brioche,préemballée,filled with custard (Chinese brioche type), Produits céréaliers > Pains et viennoiseries,"pains et viennoiseries,Agribalyse,Brioche fourrée crème pâtissière (type chinois)","Agribalyse,Brioche,pains et viennoiseries",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,2.71,Produits céréaliers,Pains et viennoiseries
41052,Valide générique,Céréales pour petit déjeuner équilibre au chocolat (non enrichies en vitamines et minérau,Breakfast cereals,,diet, Produits céréaliers > Céréales de petit-déjeuner et biscuits,"céréales de petit-déjeuner et biscuits,Agribalyse,Céréales pour petit déjeuner équilibre au chocolat (non enrichies en vitamines et minéraux)","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
41053,Valide générique,Céréales pour petit déjeuner équilibre au chocolat,Breakfast cereals,enrichies en vitamines et minéraux,diet, Produits céréaliers > Céréales de petit-déjeuner et biscuits,"céréales de petit-déjeuner et biscuits,Agribalyse,Céréales pour petit déjeuner équilibre au chocolat","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
41054,Valide générique,Céréales pour petit déjeuner équilibre aux fruits (non enrichies en vitamines et minéraux,Breakfast cereals,,diet, Produits céréaliers > Céréales de petit-déjeuner et biscuits,"céréales de petit-déjeuner et biscuits,Agribalyse,Céréales pour petit déjeuner équilibre aux fruits (non enrichies en vitamines et minéraux)","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
41055,Valide générique,Céréales pour petit déjeuner équilibre aux fruits secs (à coque),Breakfast cereals,enrichis en vitamines et minéraux,diet, Produits céréaliers > Céréales de petit-déjeuner et biscuits,"céréales de petit-déjeuner et biscuits,Agribalyse,Céréales pour petit déjeuner équilibre aux fruits secs (à coque)","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
