nom,french_attribut,CO2,main_type,sous_type
Abricot,dénoyauté,1.35,Fruits et Légumes,Fruits
Abricot au sirop,appertisé,0.75,Fruits et Légumes,Fruits
Abricot au sirop léger,appertisé,0.74,Fruits et Légumes,Fruits
Agar (algue),cru,6.77,Aides culinaires et ingrédients divers,Algues
Agneau,épaule,33.0,"Viandes, oeufs, poissons",Viandes crues
Agneau,collier-côte filet-côte première-côtelette-gigot-selle,41.3,"Viandes, oeufs, poissons",
Ail,cru,0.36,Aides culinaires et ingrédients divers,Herbes
Ail séché,poudre,0.75,Aides culinaires et ingrédients divers,Herbes
Amande,grillée-mondée,2.7,Fruits et Légumes,
Amarante,cru,1.16,Produits céréaliers,"Pâtes, riz et céréales"
Ananas,pulpe,1.3,Fruits et Légumes,Fruits
Ananas au sirop et jus d'ananas,appertisé,1.15,Fruits et Légumes,Fruits
Ananas au sirop léger,appertisé,1.15,Fruits et Légumes,Fruits
Anchois,filets roulés aux câpres-filets à l'huile,1.77,"Viandes, oeufs, poissons",
Anchois au sel (anchoité,semi-conserve),2.15,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Anchois commun,mariné,1.81,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Anchois commun,cru,2.15,"Viandes, oeufs, poissons",Poissons crus
Andouille,réchauffée à la poêle,16.2,"Viandes, oeufs, poissons",Charcuteries
Andouillette,cru,16.1,"Viandes, oeufs, poissons",Charcuteries
Andouillette,sautée/poêlée,16.2,"Viandes, oeufs, poissons",Charcuteries
Andouillette de Troyes,cru,16.1,"Viandes, oeufs, poissons",Charcuteries
Aneth,frais,0.82,Aides culinaires et ingrédients divers,Herbes
Ao-nori (Enteromorpha sp.),séché ou déshydratée,6.77,Aides culinaires et ingrédients divers,Algues
Artichaut,fond,1.79,Fruits et Légumes,Légumes
Artichaut,appertisé-coeur,1.85,Fruits et Légumes,
Artichaut,cru,3.88,Fruits et Légumes,Légumes
Ascophylle noueux ou goémon noir (Ascophyllum nodosum),séché ou déshydraté,6.58,Aides culinaires et ingrédients divers,Algues
Asperge,appertisée,1.16,Fruits et Légumes,Légumes
Asperge,pelée,1.43,Fruits et Légumes,Légumes
Asperge,blanche ou violette-verte,1.56,Fruits et Légumes,
Aubergine,cru,0.46,Fruits et Légumes,Légumes
Avocat,pulpe,1.48,Fruits et Légumes,Légumes
Avoine,cru,1.15,Produits céréaliers,"Pâtes, riz et céréales"
Baba au rhum,préemballé,0.88,Produits céréaliers,Gâteaux et pâtisseries
Baklava ou Baklawa,(pâtisserie orientale aux amandes et sirop),2.72,Produits céréaliers,Gâteaux et pâtisseries
Bambou,pousse,1.08,Fruits et Légumes,Légumes
Bambou,pousses,1.68,Fruits et Légumes,Légumes
Banane,pulpe,1.53,Fruits et Légumes,Fruits
Banane plantain,cru,0.73,Fruits et Légumes,Légumes
Bar commun ou loup,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Bar commun ou loup (Méditerranée),cru,10.87,"Viandes, oeufs, poissons",Poissons crus
Bar ou loup de l'Atlantique,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Bar rayé ou bar d'Amérique,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Barre biscuitée fourrée aux fruits,allégée en matière grasse,2.29,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Barre céréalière pour petit déjeuner au lait,chocolatée ou non,6.09,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Barre céréalière équilibre aux fruits,enrichie en vitamines et minéraux,2.46,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Barre céréalière équilibre chocolatée,enrichie en vitamines et minéraux,6.09,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Barre à la noix de coco,enrobée de chocolat,4.36,Produits sucrés,Chocolats et produits à base de chocolat
Basilic,frais,0.82,Aides culinaires et ingrédients divers,Herbes
Basilic,séché,1.55,Aides culinaires et ingrédients divers,Herbes
Beignet de viande,volaille ou poisson,6.04,Plats composés,Feuilletés et autres entrées
Beignet fourré aux fruits,préemballé,2.03,Produits céréaliers,Gâteaux et pâtisseries
Beignet fourré goût chocolat,préemballé,5.69,Produits céréaliers,Gâteaux et pâtisseries
Beignet rond moelleux,sans fourrage,1.58,Produits céréaliers,Gâteaux et pâtisseries
Bette ou blette,cru,0.54,Fruits et Légumes,Légumes
Betterave rouge,cru,0.36,Fruits et Légumes,Légumes
Biscuit apéritif,crackers-mini bretzel ou sticks,1.59,Produits céréaliers,
Biscuit apéritif soufflé,à base de maïs-à base de pomme de terre-à base de pomme de terre et de soja,1.59,Produits céréaliers,
Biscuit apéritif à base de pomme de terre,type tuile salée,1.59,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit aux céréales pour petit déjeuner,enrichis en vitamines et minéraux,2.88,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec,avec matière grasse végétale,1.22,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec,sablé,2.29,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec,sans précision,2.88,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec,petits fours en assortiment,3.43,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec (génoise) nappage aux fruits,type barquette,2.29,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec aux fruits,hyposodé,2.29,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec chocolaté,préemballé barquette-type galette-type tartelette,5.92,Produits céréaliers,
Biscuit sec croquant (ex : tuile) sans chocolat,allégé en matière grasse,3.04,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec croquant au chocolat,allégé en matière grasse,5.92,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec feuilleté,type palmier ou autres,2.85,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec fourré aux fruits,allégé en matière grasse,2.29,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec nappé aux fruits,tartelette,2.29,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec ou tuile,aux amandes,3.04,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec pour petit déjeuner,allégé en sucres,2.88,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec pour petit déjeuner,au chocolat,5.92,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Biscuit sec type tuile,aux fruits,3.1,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Bière de spécialités ou d'abbaye,régionales ou d'une brasserie (degré d'alcool variable),1.12,Boissons,Boissons alcoolisées
Blé de Khorasan,cru,0.53,Produits céréaliers,"Pâtes, riz et céréales"
Blé dur entier,cru,1.16,Produits céréaliers,"Pâtes, riz et céréales"
Blé dur précuit,grains entiers,0.56,Plats composés,Plats composés
Blé dur précuit,entier,1.16,Produits céréaliers,"Pâtes, riz et céréales"
Blé dur précuit cuisiné,en sachet micro-ondable,0.49,Plats composés,Plats composés
Blé tendre entier ou froment,cru,0.89,Produits céréaliers,"Pâtes, riz et céréales"
Boeuf,bavette d'aloyau-faux-filet-gîte à la noix-hampe-joue-onglet-rumsteck-steak ou bifteck-tende de tranche-à bourguignon ou pot-au-feu-épaule,27.8,"Viandes, oeufs, poissons",
Boeuf,boule de macreuse,27.9,"Viandes, oeufs, poissons",Viandes crues
Boeuf,côte-entrecôte-jarret-plat de côtes,28.0,"Viandes, oeufs, poissons",
Boeuf,paleron,34.9,"Viandes, oeufs, poissons",Viandes crues
Bogue,cru,1.51,"Viandes, oeufs, poissons",Poissons crus
Boisson au soja,aromatisée-nature,0.44,Boissons,
Boisson au thé,aromatisée,0.52,Boissons,Boissons sans alcool
Boisson cacaotée ou au chocolat,instantanée,1.48,Boissons,Boissons sans alcool
Boisson gazeuse,sans jus de fruit,0.51,Boissons,Boissons sans alcool
Boisson gazeuse aux fruits (de 10 à 50% de jus),sucrée,0.44,Boissons,Boissons sans alcool
Boisson gazeuse aux fruits (à moins de 10% de jus),non sucrée,0.39,Boissons,Boissons sans alcool
Boisson gazeuse aux fruits (à moins de 10% de jus),sucrée,0.44,Boissons,Boissons sans alcool
Boisson lactée,lait fermenté ou yaourt à boire,1.67,Produits Laitiers,Produits laitiers frais et assimilés
Boisson lactée aromatisée au chocolat,sucrée,1.38,Boissons,Boissons sans alcool
Boisson lactée aromatisée à la fraise,sucrée,1.38,Boissons,Boissons sans alcool
Boisson plate aux fruits,(à moins de 10% de jus),0.39,Boissons,Boissons sans alcool
Boisson plate aux fruits (10 à 50% de jus),sucrée-à teneur réduite en sucres,0.56,Boissons,
Boisson plate aux fruits (teneur en jus non spécifiée),sucrée,0.56,Boissons,Boissons sans alcool
Boisson plate aux fruits (à moins de 10% de jus),sucrée,0.56,Boissons,Boissons sans alcool
Boisson préparée à partir de sirop à diluer type menthe,fraise,0.1,Boissons,Boissons sans alcool
Boisson à base d'avoine,nature,0.54,Boissons,Boissons sans alcool
Boisson à base de riz,nature,0.37,Boissons,Boissons sans alcool
Boisson à l'eau minérale ou de source,aromatisée,0.39,Boissons,Boissons sans alcool
Boisson à la noix de coco,nature,0.99,Boissons,Boissons sans alcool
Boisson énergisante,non sucrée-sucrée,0.47,Boissons,
Bonbon au caramel,mou,1.73,Produits sucrés,Confiseries non chocolatées
Bonbons,tout type,1.73,Produits sucrés,Confiseries non chocolatées
Bonite,cru,8.4,"Viandes, oeufs, poissons",Poissons crus
Bouchée à la reine,à la viande/volaille/quenelle,4.47,Plats composés,Feuilletés et autres entrées
Bouchée à la reine,au poisson et fruits de mer,7.69,Plats composés,Feuilletés et autres entrées
Bouchées ou émincé au soja et blé (ne convient pas aux véganes ou végétaliens),préemballé,2.11,"Viandes, oeufs, poissons",Substituts de viande
