id,status,french_name,english_name,french_attribut,english_attribut,type,french_tag,english_tag,unit,validity_range,comment,CO2,complete_name
28312,Valide générique,Appareil à raclettes 6-8p,Raclette machine 6-8p,,,Achats de biens > Machines et équipements > Electroménager,"Cuisine,Raclette,equipement,Appareil à raclettes","Raclette,cooking,equipment,Raclette grill",kgCO2e/unité,20/12/2023,,16.8,Appareil à raclettes 6-8p 
26990,Valide générique,Aspirateur ménager,Household vacuum cleaner,avec sac,with bag,Achats de biens > Machines et équipements > Electroménager,"électroménager,Aspirateur ménager,avec sac","house hold appliances,Vacuum cleane rhousehold,bag",kgCO2e/unité,20/12/2021,,47.3,Aspirateur ménager avec sac
26991,Valide générique,Aspirateur ménager,Household vacuum cleaner,sans sac,without bag,Achats de biens > Machines et équipements > Electroménager,",électroménager,Aspirateur ménager,sans sac","house hold appliances,Vacuum cleaner house hold,without bag",kgCO2e/unité,20/12/2021,,52.4,Aspirateur ménager sans sac
26996,Valide générique,Aspirateur professionnel,Professional vacuum cleaner,à traineaux,sledges,Achats de biens > Machines et équipements > Electroménager,"électroménager,Aspirateur professionnel","house hold appliances,Professional vacuum cleaner",kgCO2e/unité,20/12/2021,,83.0,Aspirateur professionnel à traineaux
28324,Valide générique,Ballon électrique chauffe-eau 200L,Electric balloon water heater 200L,,,Achats de biens > Machines et équipements > Electroménager,"equipement,Ballon électrique,chauffe-eau","equipment,electric tank,water heater",kgCO2e/unité,20/12/2023,,160.0,Ballon électrique chauffe-eau 200L 
28306,Valide générique,Bouilloire,Kettle,,,Achats de biens > Machines et équipements > Electroménager,"Cuisine,equipement,Bouilloire","equipment,Kitchen,kettle",kgCO2e/unité,20/12/2023,,9.91,Bouilloire 
28325,Valide générique,Climatiseur mobile,Mobile air conditioner,,,Achats de biens > Machines et équipements > Electroménager,"equipement,Climatiseur","equipment,air conditioning",kgCO2e/unité,20/12/2023,,239.0,Climatiseur mobile 
26977,Valide générique,Congélateur,Freezer,armoire,cabinet,Achats de biens > Machines et équipements > Electroménager,"Cuisine,armoire,électroménager,Congélateur","wardrobe,Kitchen,appliances,Freezer",kgCO2e/unité,20/12/2021,Congélateur armoire (205 litres),415.0,Congélateur armoire
26978,Valide générique,Congélateur,Freezer,coffre,chest,Achats de biens > Machines et équipements > Electroménager,"Cuisine,électroménager,Congélateur,coffre","Kitchen,appliances,Freezer,safe",kgCO2e/unité,20/12/2021,Congélateur coffre (261 litres),301.0,Congélateur coffre
26986,Valide générique,Four,Oven,électrique encastrable,built-in electric,Achats de biens > Machines et équipements > Electroménager,"Cuisine,électroménager,four,électrique encastrable","Kitchen,appliances,Oven,electric",kgCO2e/unité,20/12/2021,,217.0,Four électrique encastrable
